Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-25T18:42:45.216;136;2,4
2026-03-25T18:42:45.217;137;2,2
2026-03-25T18:42:45.702;138;2,2
2026-03-25T18:42:46.653;138;1,8
2026-03-25T18:42:47.615;139;1,8
2026-03-25T18:42:49.537;139;1,7
2026-03-25T18:42:49.539;140;1,8
2026-03-25T18:42:50.977;140;1,6
2026-03-25T18:42:51.936;141;1,6
2026-03-25T18:42:53.858;141;1,4
2026-03-25T18:42:53.859;142;1,4
2026-03-25T18:42:54.808;143;1,5
2026-03-25T18:42:55.777;143;1,4
2026-03-25T18:42:56.730;144;1,4
2026-03-25T18:42:57.696;144;1,3
2026-03-25T18:42:58.652;144;1,3
2026-03-25T18:42:59.612;145;1,2
2026-03-25T18:43:00.572;145;1,1
2026-03-25T18:43:02.493;145;0,9
2026-03-25T18:43:02.931;146;0,9
2026-03-25T18:43:03.928;146;0,9
2026-03-25T18:43:04.893;146;0,8
2026-03-25T18:43:06.341;146;0,8
2026-03-25T18:43:06.772;146;0,7
2026-03-25T18:43:07.775;146;0,7
2026-03-25T18:43:09.209;146;0,7
2026-03-25T18:43:09.700;145;0,7
2026-03-25T18:43:11.129;145;0,7
2026-03-25T18:43:11.569;145;0,7
2026-03-25T18:43:12.578;145;0,6
2026-03-25T18:43:14.024;145;0,6
2026-03-25T18:43:14.973;145;0,6
2026-03-25T18:43:15.933;145;0,6
2026-03-25T18:43:16.902;145;0,6
2026-03-25T18:43:17.856;145;0,7
2026-03-25T18:43:18.811;146;0,7
2026-03-25T18:43:19.775;146;0,7
2026-03-25T18:43:21.701;146;0,7
2026-03-25T18:43:21.702;146;0,7
2026-03-25T18:43:22.636;146;0,7
2026-03-25T18:43:23.611;146;0,7
2026-03-25T18:43:24.550;146;0,7
2026-03-25T18:43:26.011;146;0,7
2026-03-25T18:43:26.976;146;0,9
2026-03-25T18:43:27.933;147;0,9
2026-03-25T18:43:28.895;147;0,9
2026-03-25T18:43:29.852;147;0,8
2026-03-25T18:43:30.808;147;0,9
2026-03-25T18:43:31.770;147;1,0
2026-03-25T18:43:32.736;147;0,9
2026-03-25T18:43:33.691;147;0,9
2026-03-25T18:43:34.658;147;0,9
2026-03-25T18:43:35.614;147;0,9
2026-03-25T18:43:36.572;147;0,9
2026-03-25T18:43:38.020;146;0,9
2026-03-25T18:43:38.979;147;0,9
2026-03-25T18:43:39.936;147;0,9
2026-03-25T18:43:40.901;147;0,9
2026-03-25T18:43:41.855;147;0,7
2026-03-25T18:43:42.815;147;0,7
2026-03-25T18:43:43.775;147;0,6
2026-03-25T18:43:44.738;147;0,6
2026-03-25T18:43:45.692;147;0,6
2026-03-25T18:43:46.658;147;0,6
2026-03-25T18:43:47.610;147;0,6
2026-03-25T18:43:48.571;147;0,6
2026-03-25T18:43:50.009;147;0,5
2026-03-25T18:43:50.972;146;0,5
2026-03-25T18:43:51.927;146;0,5
2026-03-25T18:43:52.891;146;0,5
2026-03-25T18:43:53.854;146;0,5
2026-03-25T18:43:54.810;146;0,5
2026-03-25T18:43:55.776;146;0,6
2026-03-25T18:43:56.727;146;0,7
2026-03-25T18:43:57.698;147;1,1
2026-03-25T18:43:58.654;147;1,6
2026-03-25T18:43:59.614;147;1,6
2026-03-25T18:44:00.571;147;1,6
2026-03-25T18:44:02.018;147;1,6
2026-03-25T18:44:02.975;147;1,6
2026-03-25T18:44:03.935;147;1,7
2026-03-25T18:44:04.897;147;1,7
2026-03-25T18:44:05.856;147;1,7
2026-03-25T18:44:06.768;147;1,8
2026-03-25T18:44:07.777;147;1,8
2026-03-25T18:44:08.735;147;1,7
2026-03-25T18:44:09.692;147;1,5
2026-03-25T18:44:10.651;147;1,0
2026-03-25T18:44:11.615;148;1,0
2026-03-25T18:44:12.573;148;1,0
2026-03-25T18:44:14.492;147;1,0
2026-03-25T18:44:14.979;147;1,0
2026-03-25T18:44:15.933;147;0,9
2026-03-25T18:44:16.890;147;0,8
2026-03-25T18:44:17.863;148;1,1
2026-03-25T18:44:18.874;148;1,1
2026-03-25T18:44:20.253;147;1,3
2026-03-25T18:44:20.726;147;1,3
2026-03-25T18:44:21.710;146;1,3
2026-03-25T18:44:22.656;146;1,3
2026-03-25T18:44:23.614;145;1,3
2026-03-25T18:44:24.569;144;1,5
2026-03-25T18:44:25.545;144;1,7
2026-03-25T18:44:26.977;143;1,9
2026-03-25T18:44:27.888;143;2,0
2026-03-25T18:44:28.851;143;2,0
2026-03-25T18:44:29.852;143;1,9
2026-03-25T18:44:30.810;143;1,9
2026-03-25T18:44:31.728;143;1,9
2026-03-25T18:44:32.728;142;1,7
2026-03-25T18:44:33.690;141;1,8
2026-03-25T18:44:34.649;141;1,8
2026-03-25T18:44:36.087;140;1,8
2026-03-25T18:44:36.572;140;1,8
2026-03-25T18:44:37.532;140;1,7
2026-03-25T18:44:38.966;140;1,5
2026-03-25T18:44:39.943;140;1,4
2026-03-25T18:44:40.850;140;1,2
2026-03-25T18:44:41.825;140;1,3
2026-03-25T18:44:42.774;139;1,4
2026-03-25T18:44:43.734;138;1,5
2026-03-25T18:44:44.680;138;1,5
2026-03-25T18:44:45.642;137;1,4
2026-03-25T18:44:47.073;137;1,4
2026-03-25T18:44:47.555;137;1,4
2026-03-25T18:44:48.522;137;1,4
2026-03-25T18:44:50.487;136;1,4
2026-03-25T18:44:50.933;136;1,4
2026-03-25T18:44:51.929;135;1,3
2026-03-25T18:44:53.810;135;1,3
2026-03-25T18:44:53.811;135;1,4
2026-03-25T18:44:54.809;135;1,1
2026-03-25T18:44:55.772;136;1,2
2026-03-25T18:44:57.212;135;1,3
2026-03-25T18:44:57.651;134;1,5
2026-03-25T18:44:58.658;132;2,0
2026-03-25T18:44:59.616;131;2,3
2026-03-25T18:45:01.536;130;2,3
2026-03-25T18:45:01.537;129;2,3
2026-03-25T18:45:02.973;128;2,3
2026-03-25T18:45:03.930;128;2,3
2026-03-25T18:45:04.886;128;2,3
2026-03-25T18:45:05.852;128;2,3
2026-03-25T18:45:06.774;128;2,2
2026-03-25T18:45:07.734;128;2,2
2026-03-25T18:45:08.693;128;2,2
2026-03-25T18:45:09.702;127;2,2
2026-03-25T18:45:10.664;126;2,3
2026-03-25T18:45:11.615;126;1,8
2026-03-25T18:45:12.575;125;1,8
2026-03-25T18:45:13.539;125;1,4
2026-03-25T18:45:14.979;125;1,5
2026-03-25T18:45:15.929;125;1,6
2026-03-25T18:45:16.852;126;1,6
2026-03-25T18:45:17.815;126;1,6
2026-03-25T18:45:18.793;126;1,6
2026-03-25T18:45:19.770;126;1,7
2026-03-25T18:45:20.773;125;1,7
2026-03-25T18:45:21.654;125;1,7
2026-03-25T18:45:23.135;124;1,6
2026-03-25T18:45:23.615;125;1,7
2026-03-25T18:45:24.574;125;1,4
2026-03-25T18:45:25.493;125;1,4
2026-03-25T18:45:26.972;125;1,6
2026-03-25T18:45:27.928;124;1,9
2026-03-25T18:45:28.894;123;2,0
2026-03-25T18:45:29.861;122;1,9
2026-03-25T18:45:30.814;121;1,9
2026-03-25T18:45:31.772;122;1,9
2026-03-25T18:45:32.732;122;2,0
2026-03-25T18:45:33.686;123;1,9
2026-03-25T18:45:34.652;124;2,2
2026-03-25T18:45:35.612;124;2,2
2026-03-25T18:45:37.049;125;2,3
2026-03-25T18:45:37.531;126;2,3
2026-03-25T18:45:38.971;125;2,8
2026-03-25T18:45:39.930;123;3,1
2026-03-25T18:45:40.895;123;3,0
2026-03-25T18:45:41.852;121;3,0
2026-03-25T18:45:42.815;121;2,9
2026-03-25T18:45:43.760;120;2,9
2026-03-25T18:45:44.734;120;2,9
2026-03-25T18:45:45.694;121;3,3
2026-03-25T18:45:46.648;122;3,3
2026-03-25T18:45:48.570;123;3,4
2026-03-25T18:45:48.572;123;3,4
2026-03-25T18:45:49.536;123;3,3
2026-03-25T18:45:50.974;122;3,3
2026-03-25T18:45:51.936;122;3,3
2026-03-25T18:45:52.889;121;3,2
2026-03-25T18:45:54.811;121;2,5
2026-03-25T18:45:54.812;121;2,6
2026-03-25T18:45:55.732;121;2,6
2026-03-25T18:45:56.735;121
2026-03-25T18:45:57.691;121;2,4
2026-03-25T18:45:58.645;122;2,4
2026-03-25T18:45:59.608;122;2,4
2026-03-25T18:46:00.568;122;2,4
2026-03-25T18:46:01.524;123;1,8
2026-03-25T18:46:02.973;123;1,8
2026-03-25T18:46:03.934;124;1,8
2026-03-25T18:46:04.894;125;2,0
2026-03-25T18:46:05.850;125;1,9
2026-03-25T18:46:06.818;125;1,8
2026-03-25T18:46:08.250;125;1,8
2026-03-25T18:46:09.221;125;1,8
2026-03-25T18:46:09.699;125;1,9
2026-03-25T18:46:10.653;124;1,8
2026-03-25T18:46:11.573;124;1,7
2026-03-25T18:46:12.577;124;1,7
2026-03-25T18:46:13.531;124;1,6
2026-03-25T18:46:14.974;125;1,6
2026-03-25T18:46:15.944;125;1,6
2026-03-25T18:46:16.895;126;1,8
2026-03-25T18:46:17.858;126;1,8
2026-03-25T18:46:19.734;127;1,6
2026-03-25T18:46:19.737;128;1,7
2026-03-25T18:46:20.677;129;1,5
2026-03-25T18:46:21.637;129;1,7
2026-03-25T18:46:23.077;128;1,7
2026-03-25T18:46:24.053;127;1,9
2026-03-25T18:46:24.584;127;1,9
2026-03-25T18:46:26.967;126;2,0
2026-03-25T18:46:26.968;126;2,0
2026-03-25T18:46:27.935;125;2,0
2026-03-25T18:46:28.921;125;2,0
2026-03-25T18:46:29.856;126;2,3
2026-03-25T18:46:30.825;126;2,1
2026-03-25T18:46:32.256;126;2,1
2026-03-25T18:46:32.737;126;2,0
2026-03-25T18:46:33.694;126;2,0
2026-03-25T18:46:34.654;126;2,0
